PAC,Gene,Description,Family,Number of Interactions,Rank of Druggabilty,Druggability Percentile,Rank Druggability for Other Therapeutic Areas,Druggability for Other Therapeutic Areas Percentile,Rank Druggability for Cancer,Druggability for Cancer Percentile,Rank Cancer-Associated,Cancer-Associated Percentile,Is this gene a drug target?,Is this gene a target of other therapeutics?,Is this gene a target of cancer therapeutics?,Is this gene associated with cancer?,Is this gene in the CGC?,Maximum Druggability percentile
A0A5B9,TRBC2,T-cell receptor beta-2 chain C region,,5,3049,77%,2307,83%,480,96%,8745,34%,0,0,0,0,0,0.96
A0AV96,RBM47,RNA-binding protein 47,RRM RBM47 family,1,11504,14%,5858,56%,12439,7%,12391,7%,0,0,0,0,0,0.56
A0AVK6,E2F8,"Transcription factor E2F8, E2F-8", E2F/DP family.,5,12234,8%,12712,5%,8662,35%,7527,44%,0,0,0,0,0,0.35
A0AVT1,UBA6,"Ubiquitin-like modifier-activating enzyme 6, Ubiquitin-activating enzyme 6", ubiquitin-activating E1 family.,12,7473,44%,4822,64%,3003,77%,4088,69%,0,0,0,0,0,0.77
A0FGR8,ESYT2,Extended synaptotagmin-2,extended synaptotagmin family,1,4042,70%,1894,86%,7853,41%,10880,18%,0,0,0,0,0,0.86
A0JLT2,MED19,Mediator of RNA polymerase II transcription subunit 19, Mediator complex subunit 19 family.,12,7982,40%,10355,22%,5277,60%,2523,81%,0,0,0,0,0,0.60
A0JNW5,UHRF1BP1L,UHRF1-binding protein 1-like,,1,10039,25%,5447,59%,12079,9%,10116,24%,0,0,0,0,0,0.59
A0MZ66,KIAA1598,Shootin-1, shootin family.,9,5593,58%,5769,57%,4133,69%,3811,71%,0,0,0,1,1,0.69
A0PJX4,SHISA3,Protein shisa-3 homolog,shisa family,1,12300,8%,12879,3%,12698,5%,12629,5%,0,0,0,0,0,0.08
A0PK00,TMEM120B,Transmembrane protein 120B,TMEM120 family,1,12282,8%,12529,6%,12819,4%,12851,4%,0,0,0,0,0,0.08
A1A4S6,ARHGAP10,Rho GTPase-activating protein 10,,6,2010,85%,1804,86%,4473,66%,5251,61%,0,0,0,0,0,0.86
A1A4T8,C14orf182,Uncharacterized protein C14orf182,,4,9979,25%,11860,11%,11010,17%,9906,26%,0,0,0,0,0,0.25
A1A580,KRTAP23-1,Keratin-associated protein 23-1,,2,12780,4%,12735,5%,12720,5%,11058,17%,0,0,0,0,0,0.05
A1A5C7,SLC22A23,Solute carrier family 22 member 23,Organic cation transporter (TC 2.A.1.19) family,3,9869,26%,7957,40%,11556,13%,10380,22%,0,0,0,0,0,0.40
A1A5D9,CCDC64B,Bicaudal D-related protein 2,BICDR family,1,11933,11%,11362,15%,12633,5%,12762,4%,0,0,0,0,0,0.15
A1E959,ODAM,Odontogenic ameloblast-associated protein, ODAM family.,2,12420,7%,10107,24%,10140,24%,8241,38%,0,0,0,0,0,0.24
A1KXE4,FAM168B,Protein FAM168B, FAM168 protein family.,2,4907,63%,12866,4%,1020,92%,7790,42%,0,0,0,0,0,0.92
A1L0T0,ILVBL,Acetolactate synthase-like protein, TPP enzyme family.,5,8057,40%,7849,41%,8232,38%,5978,55%,0,0,0,0,0,0.41
A1L162,,Uncharacterized protein LOC285141,,3,7702,42%,11970,10%,8323,38%,5988,55%,0,0,0,0,0,0.42
A1L190,SYCE3,Synaptonemal complex central element protein 3,,2,12603,6%,11161,16%,12392,7%,10976,18%,0,0,0,0,0,0.16
A1L3X0,ELOVL7,Elongation of very long chain fatty acids protein 7,ELO family,1,11712,12%,7082,47%,12570,6%,12763,4%,0,0,0,0,0,0.47
A1L443,NUTM2F,NUT family member 2F,NUT family,3,7902,41%,2749,79%,6567,51%,6939,48%,0,0,0,0,0,0.79
A1L4H1,SSC5D,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,,7,11030,17%,10621,20%,9560,28%,8302,38%,0,0,0,0,0,0.28
A1L4K1,FSD2,Fibronectin type III and SPRY domain-containing protein 2,,41,12184,9%,4624,65%,5354,60%,3143,76%,0,0,0,0,0,0.65
A1X283,SH3PXD2B,SH3 and PX domain-containing protein 2B, SH3PXD2 family.,2,2714,80%,2719,80%,2071,84%,5710,57%,0,0,0,0,0,0.84
A1XBS5,FAM92A1,Protein FAM92A1, FAM92 family.,2,5896,56%,9998,25%,12657,5%,11798,12%,0,0,0,0,0,0.56
A1YPR0,ZBTB7C,Zinc finger and BTB domain-containing protein 7C,,1,10549,21%,10674,20%,11624,13%,9324,30%,0,0,0,0,0,0.21
A2A2V5,SERTM1,Serine-rich and transmembrane domain-containing protein 1,,1,13063,2%,13074,2%,13068,2%,13069,2%,0,0,0,0,0,0.02
A2RRD8,ZNF320,Zinc finger protein 320,krueppel C2H2-type zinc-finger protein family,1,12564,6%,12677,5%,12104,9%,10850,19%,0,0,0,0,0,0.09
A2RRH5,WDR27,WD repeat-containing protein 27,,1,9308,30%,9083,32%,12997,3%,12712,5%,0,0,0,0,0,0.32
A2RRL7,TMEM213,Transmembrane protein 213,,2,10100,24%,7324,45%,11399,15%,11366,15%,0,0,0,0,0,0.45
A2RRP1,NBAS,Neuroblastoma-amplified sequence,,1,4657,65%,9124,32%,9508,29%,11537,14%,0,0,0,0,0,0.65
